SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR     PA PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR    RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER STOP     A_BIG SAREA
pixel                                                         degrees degrees   pixel  pixel   pixel  pixel                        pixel**1/4                                                                                                                                                                                      pixel

     0.00       11.9      INDEF     INDEF     INDEF  INDEF  INDEF  INDEF  INDEF  235.00  INDEF  123.00  INDEF    -1.95  INDEF  INDEF 0.00000   -2.69   INDEF   INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.51       10.9      0.136     0.693      0.49 0.1078 0.0758  76.10  22.01  235.00   0.02  123.00   0.02    -1.93   3.97   2.06 0.84409   -2.59  0.0136  0.0135       11.891       11.891   -2.69   -2.69      1      1    0.0159  0.0498     0.033  0.0768    0.0983   0.203    0.0556   0.115    13     0  10  0   1.02E-6   2.0
     0.56       10.8      0.148     0.755     0.534 0.1061 0.0773  74.93  22.79  235.00   0.02  123.00   0.02    -1.93   3.92   2.04 0.86444   -2.58   0.015  0.0148       11.891       11.891   -2.69   -2.69      1      1    0.0197  0.0554    0.0312  0.0735     0.106   0.216    0.0476  0.0975    13     0  10  0   1.13E-5   2.0
     0.61       10.7      0.161     0.821      0.58 0.1048 0.0797  73.71  23.76  235.00   0.03  123.00   0.03    -1.92   3.88   2.02 0.88528   -2.57  0.0165  0.0162       11.891       11.891   -2.69   -2.69      1      1    0.0241  0.0625    0.0294  0.0703     0.114    0.23    0.0391  0.0796    13     0  10  0   3.54E-6   2.0
     0.68       10.6      0.175     0.892     0.631 0.1039 0.0828  72.45  24.91  235.00   0.03  123.00   0.03    -1.92   3.83     2. 0.90663   -2.56  0.0181  0.0178       11.891       11.891   -2.69   -2.69      1      1    0.0291  0.0711    0.0274  0.0674     0.122   0.245    0.0304  0.0617    13     0  10  0   5.31E-6   2.0
     0.74       10.4       0.19     0.969     0.685 0.1036 0.0868  71.17  26.19  235.00   0.04  123.00   0.03    -1.91   3.78   1.98 0.92849   -2.55  0.0199  0.0196       11.891       11.891   -2.69   -2.69      1      1    0.0348  0.0812    0.0253  0.0649      0.13   0.258    0.0215  0.0439    13     0  10  0   6.83E-6   2.0
     0.82       10.3      0.207      1.05     0.745 0.1088 0.0862  71.27  24.80  235.00   0.04  123.00   0.04     -1.9   3.73   1.97 0.95088   -2.53   0.022  0.0215       11.891       11.891   -2.69   -2.69      1      1    0.0379  0.0857    0.0289  0.0699     0.128   0.253     0.022  0.0445    13     0  10  0   0.00492   2.0
     0.90       10.2      0.224      1.14     0.809 0.1163 0.0851  71.49  23.03  235.00   0.04  123.00   0.04    -1.88   3.68   1.96 0.97381   -2.52  0.0242  0.0237       11.891       11.891   -2.69   -2.69      1      1    0.0409  0.0902    0.0334  0.0766     0.126   0.246    0.0231  0.0465    13     0  10  0    0.0116   2.0
