SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       23.8      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  203.00  INDEF  147.00  INDEF    -3.39    INDEF      INDEF    0.00000   -3.44    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.51       22.1      0.215       1.1     0.777 0.3450    0.0653   71.00    6.78  203.00   0.02  147.00   0.02    -3.32     6.29       1.89    0.84409   -3.36   0.0106   0.0105       23.844       23.844   -3.44   -3.44      1      1    -0.019  0.0576    0.0274  0.0676     0.136   0.259  -0.00348  0.0138    13     0     1     0     INDEF   2.0
     0.56        22.      0.235       1.2     0.848 0.3450    0.0646   71.00    6.71  203.00   0.03  147.00   0.02    -3.31     6.24       1.89    0.86444   -3.35   0.0117   0.0116       23.844       23.844   -3.44   -3.44      1      1    -0.017  0.0549    0.0264  0.0656     0.136   0.256  -0.00328  0.0135    13     0     1     0     INDEF   2.0
     0.61       21.8      0.257      1.31     0.926 0.3450    0.0639   71.00    6.63  203.00   0.03  147.00   0.02    -3.29     6.19       1.88    0.88528   -3.34   0.0129   0.0127       23.844       23.844   -3.44   -3.44      1      1   -0.0146  0.0521    0.0251  0.0636     0.135   0.253  -0.00306  0.0131    13     0     1     0     INDEF   2.0
     0.68       21.6       0.28      1.43      1.01 0.3450    0.0631   71.00    6.55  203.00   0.03  147.00   0.02    -3.27     6.13       1.87    0.90663   -3.33   0.0142    0.014       23.844       23.844   -3.44   -3.44      1      1   -0.0121  0.0493    0.0238  0.0613     0.133    0.25  -0.00281  0.0128    13     0     1     0     INDEF   2.0
     0.74       21.3      0.305      1.56       1.1 0.3450    0.0623   71.00    6.46  203.00   0.03  147.00   0.03    -3.26     6.07       1.86    0.92849   -3.32   0.0156   0.0154       23.844       23.844   -3.44   -3.44      1      1  -0.00926  0.0466    0.0223  0.0588     0.132   0.246  -0.00253  0.0123    13     0     1     0     INDEF   2.0
     0.82       21.1      0.332      1.69       1.2 0.3450    0.0614   71.00    6.37  203.00   0.04  147.00   0.03    -3.24       6.       1.85    0.95088   -3.31   0.0172    0.017       23.844       23.844   -3.44   -3.44      1      1   -0.0061  0.0443    0.0206  0.0562     0.131   0.243  -0.00223  0.0119    13     0     1     0     INDEF   2.0
     0.90       20.8      0.361      1.84       1.3 0.3450    0.0604   71.00    6.27  203.00   0.04  147.00   0.03    -3.22     5.93       1.84    0.97381    -3.3    0.019   0.0187       23.844       23.844   -3.44   -3.44      1      1  -0.00257  0.0425    0.0188  0.0534     0.129   0.238  -0.00188  0.0115    13     0     1     0     INDEF   2.0
