SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       23.8      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  202.82  INDEF  147.21  INDEF    -3.21    INDEF      INDEF    0.00000   -3.44    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.51       22.2     0.0717     0.366     0.259 0.0759    0.1115  -80.87   45.24  202.82   0.03  147.21   0.03    -3.99     2.08      0.521    0.84409   -3.37  0.00351   0.0035       23.844       23.844   -3.44   -3.44      1      1   -0.0664  0.0386     -0.15  0.0801  -0.00403  0.0169   -0.0106  0.0169    13     0    10     0   0.00455   2.0
     0.56       22.1     0.0776     0.396      0.28 0.0809    0.1120  -79.11   42.74  202.81   0.03  147.23   0.03    -3.88     2.08      0.536    0.86444   -3.36  0.00383  0.00381       23.844       23.844   -3.44   -3.44      1      1   -0.0564   0.034    -0.157  0.0856  -0.00653  0.0153   -0.0128  0.0158    13     0    10     0    0.0206   2.0
     0.61       21.9     0.0857     0.437     0.309 0.0749    0.1131  -78.83   46.47  202.79   0.04  147.26   0.04    -3.89     2.09      0.537    0.88528   -3.35  0.00426  0.00425       23.844       23.844   -3.44   -3.44      1      1   -0.0562  0.0341    -0.158  0.0861  -0.00782  0.0156   -0.0134   0.016    13     0    10     0    0.0204   2.0
     0.68       21.7     0.0927     0.472     0.334 0.1073    0.1058  -85.87   30.88  202.76   0.04  147.26   0.04    -3.94       2.      0.506    0.90663   -3.34  0.00464  0.00462       23.844       23.844   -3.44   -3.44      1      1   -0.0889  0.0497     -0.13   0.069    0.0146  0.0221   0.00199  0.0198    13     0    16     0    0.0254   2.0
     0.74       21.5      0.103     0.527     0.373 0.0803    0.0940  -84.23   36.17  202.75   0.04  147.30   0.04    -4.63     1.95      0.422    0.92849   -3.33  0.00524  0.00522       23.844       23.844   -3.44   -3.44      1      1   -0.0743  0.0353    -0.117  0.0516    0.0077  0.0165  -0.00282  0.0155    13     0    10     0    0.0298   2.0
     0.82       21.1        0.1     0.512     0.362 0.0903    0.0720  -81.74   24.75  202.74   0.03  147.32   0.03    -5.29     1.62      0.307    0.95088   -3.31  0.00517  0.00514       23.844       23.844   -3.44   -3.44      1      1   -0.0428  0.0222   -0.0893  0.0323   0.00411  0.0166   -0.0206   0.017    13     0    10     0   9.68E-4   2.0
     0.90       20.8      0.092     0.469     0.332 0.1172    0.0538  -87.32   14.44  202.74   0.03  147.32   0.02    -5.73     1.32      0.231    0.97381    -3.3  0.00481  0.00479       23.844       23.844   -3.44   -3.44      1      1   -0.0434  0.0223   -0.0455  0.0218    0.0129  0.0188    -0.018  0.0182    13     0    10     0   0.00116   2.0
