SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00        1.4      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  286.19  INDEF  172.02  INDEF   -0.129    INDEF      INDEF    0.00000  -0.364    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       1.33    0.00219    0.0112   0.00789 0.3239    0.0746  -72.10    8.15  286.19   0.03  172.02   0.02    -0.13   0.0658      0.507    0.84958  -0.311  0.00179  0.00178       1.3984       1.3984  -0.364  -0.364      1      1   -0.0812  0.0475     0.112  0.0609     -0.05  0.0308   -0.0112  0.0177    13     0    10     0   3.84E-5   2.0
     0.57       1.33    0.00227    0.0116   0.00819 0.3318    0.0704  -71.10    7.54  286.21   0.03  172.03   0.02   -0.128   0.0624      0.486    0.87007  -0.306  0.00186  0.00186       1.3984       1.3984  -0.364  -0.364      1      1   -0.0833  0.0458     0.105  0.0549   -0.0456  0.0269   -0.0164  0.0166    13     0    10     0   2.26E-5   2.0
     0.63       1.32    0.00236     0.012   0.00852 0.3433    0.0664  -70.26    6.92  286.23   0.03  172.04   0.02   -0.126   0.0593      0.469    0.89105  -0.301  0.00195  0.00194       1.3984       1.3984  -0.364  -0.364      1      1    -0.085  0.0443    0.0989    0.05   -0.0402   0.023   -0.0215  0.0161    13     0    10     0   2.23E-5   2.0
     0.69       1.31    0.00247    0.0126   0.00892 0.3579    0.0630  -69.67    6.35  286.25   0.03  172.05   0.02   -0.124   0.0568      0.458    0.91254  -0.295  0.00205  0.00204       1.3984       1.3984  -0.364  -0.364      1      1    -0.086  0.0431    0.0951  0.0468   -0.0342  0.0193   -0.0263  0.0161    13     0    10     0   4.90E-5   2.0
     0.76       1.31    0.00248    0.0127   0.00895 0.3675    0.0452  -68.50    4.47  286.28   0.03  172.07   0.02   -0.155   0.0487      0.313    0.93454  -0.289  0.00207  0.00206       1.3984       1.3984  -0.364  -0.364      1      1    -0.068  0.0244     0.066  0.0236   -0.0191 0.00832   -0.0262  0.0099    13     0    10     0   2.03E-4   2.0
     0.84       1.29    0.00275     0.014    0.0099 0.3115    0.0452  -63.82    5.09  286.29   0.03  172.08   0.02    -0.17    0.053      0.311    0.95708  -0.276  0.00232  0.00231       1.3984       1.3984  -0.364  -0.364      1      1   -0.0646  0.0293    0.0205  0.0215   -0.0061  0.0155   -0.0448  0.0203    13     0    10     0   5.81E-5   2.0
     0.92       1.27    0.00335    0.0171    0.0121 0.2765    0.0477  -58.97    5.93  286.29   0.03  172.10   0.03   -0.188   0.0544       0.29    0.98016  -0.261  0.00286  0.00285       1.3984       1.3984  -0.364  -0.364      1      1   -0.0492  0.0299  -0.00602  0.0253   0.00589  0.0193   -0.0539  0.0241    13     0    10     0   9.29E-5   2.0
