SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       5.82      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  193.07  INDEF  175.89  INDEF   -0.695    INDEF      INDEF    0.00000   -1.91    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       5.46     0.0117    0.0599    0.0423 0.0524    0.1046  -37.41   60.76  193.07   0.03  175.89   0.03   -0.696    0.338      0.486    0.84958   -1.84  0.00234  0.00233       5.8203       5.8203   -1.91   -1.91      1      1   -0.0949  0.0606   -0.0429  0.0431    0.0541  0.0325   -0.0877  0.0464    13     0    12     0    0.0025   2.0
     0.57       5.42     0.0125    0.0639    0.0452 0.0524    0.1016  -37.84   59.01  193.08   0.03  175.88   0.03   -0.693    0.328      0.473    0.87007   -1.84  0.00251   0.0025       5.8203       5.8203   -1.91   -1.91      1      1   -0.0937  0.0584   -0.0391  0.0409    0.0503    0.03   -0.0867  0.0446    13     0    11     0   0.00381   2.0
     0.63       5.38      0.014    0.0713    0.0504 0.0524    0.1039  -37.53   60.36  193.08   0.03  175.88   0.03    -0.69    0.334      0.484    0.89105   -1.83  0.00282  0.00282       5.8203       5.8203   -1.91   -1.91      1      1   -0.0933  0.0597   -0.0433   0.043    0.0522  0.0316   -0.0889  0.0466    13     0    13     0   0.00236   2.0
     0.69       5.34     0.0126    0.0642    0.0454 0.0524    0.0827  -18.83   48.07  193.09   0.03  175.86   0.03   -0.707    0.271      0.383    0.91254   -1.82  0.00256  0.00256       5.8203       5.8203   -1.91   -1.91      1      1  -0.00985  0.0298   -0.0838  0.0428    0.0848  0.0347    0.0129  0.0127    13     0    13     0   0.00366   2.0
     0.76        5.3     0.0137    0.0698    0.0493 0.0776    0.0812  -19.46   32.27  193.09   0.03  175.85   0.03   -0.694    0.267      0.384    0.93454   -1.81  0.00281   0.0028       5.8203       5.8203   -1.91   -1.91      1      1    -0.014    0.03    -0.085  0.0432    0.0847  0.0349   0.00734  0.0123    13     0    50     2   0.00273   2.0
     0.84       5.24      0.015    0.0763     0.054 0.0776    0.0757  -19.46   30.06  193.10   0.03  175.83   0.03   -0.742    0.253      0.341    0.95708    -1.8   0.0031  0.00309       5.8203       5.8203   -1.91   -1.91      1      1    -0.012  0.0274   -0.0805  0.0379     0.078   0.029   0.00632  0.0112    13     0    50     2   0.00116   2.0
     0.92       5.18     0.0168    0.0855    0.0604 0.0694    0.0702  -25.75   31.06  193.10   0.03  175.83   0.03   -0.819    0.252      0.307    0.98016   -1.79  0.00352  0.00351       5.8203       5.8203   -1.91   -1.91      1      1   -0.0154   0.028   -0.0637   0.033    0.0692  0.0251   -0.0296  0.0156    13     0    10     0   0.00468   2.0
