SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       13.7      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  191.92  INDEF  162.74  INDEF    -1.09    INDEF      INDEF    0.00000   -2.84    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       13.2     0.0229     0.117    0.0826 0.4224    0.0632    0.80    5.62  191.92   0.02  162.74   0.03    -1.37    0.683      0.498    0.84958    -2.8  0.00189  0.00189       13.734       13.734   -2.84   -2.84      1      1   -0.0488  0.0322    -0.133  0.0693  -0.00936  0.0196   -0.0273  0.0226    13     0    10     0   5.34E-5   2.0
     0.57       13.1     0.0253     0.129    0.0913 0.4215    0.0634    1.06    5.65  191.91   0.02  162.71   0.03    -1.37    0.686      0.499    0.87007   -2.79   0.0021  0.00209       13.734       13.734   -2.84   -2.84      1      1    -0.047  0.0315    -0.134    0.07   -0.0101  0.0199   -0.0254  0.0223    13     0    10     0   4.36E-5   2.0
     0.63        13.      0.028     0.143     0.101 0.4210    0.0635    1.34    5.66  191.91   0.02  162.68   0.03    -1.38    0.688      0.497    0.89105   -2.79  0.00234  0.00233       13.734       13.734   -2.84   -2.84      1      1   -0.0448  0.0306    -0.135  0.0701   -0.0108  0.0201   -0.0234  0.0219    13     0    10     0   7.98E-5   2.0
     0.69       12.9     0.0297     0.151     0.107 0.3831    0.0553    3.06    5.29  191.89   0.02  162.66   0.03    -1.63    0.629      0.386    0.91254   -2.78   0.0025  0.00249       13.734       13.734   -2.84   -2.84      1      1   -0.0375  0.0226     -0.11  0.0456   -0.0139  0.0171   -0.0134  0.0164    13     0    10     0   0.00595   2.0
     0.76       12.7     0.0314      0.16     0.113 0.2781    0.0556    5.29    6.88  191.86   0.02  162.65   0.03    -1.82    0.615      0.338    0.93454   -2.76  0.00268  0.00267       13.734       13.734   -2.84   -2.84      1      1   -0.0338  0.0212    -0.089  0.0346  -0.00618  0.0176   -0.0111  0.0171    13     0    10     0   0.00553   2.0
     0.84       12.5     0.0368     0.188     0.133 0.1424    0.0570   10.47   12.77  191.83   0.02  162.64   0.03    -2.25    0.642      0.285    0.95708   -2.74  0.00321   0.0032       13.734       13.734   -2.84   -2.84      1      1   -0.0126  0.0153   -0.0815  0.0273   0.00617  0.0148   0.00622  0.0141    13     0    10     0   0.00145   2.0
     0.92       12.2     0.0354      0.18     0.128 0.0875    0.0446   19.44   15.78  191.81   0.02  162.64   0.02    -2.68    0.514      0.192    0.98016   -2.72  0.00315  0.00314       13.734       13.734   -2.84   -2.84      1      1  -0.00195  0.0134   -0.0555  0.0167    0.0127   0.013   0.00488  0.0122    13     0    10     0   0.00403   2.0
