|  j |  i |      Aji |
|  2 |  1 |     0.02 |
| 11 |  3 |  0.00223 |
|  3 |  2 |   0.0131 |
| 11 |  4 |  0.00269 |
|  4 |  3 |  0.00463 |
| 11 |  7 |    0.177 |
|  5 |  1 |   0.0555 |
| 11 | 10 |  0.00642 |
|  5 |  2 |   0.0151 |
| 12 |  1 | 0.000602 |
|  5 |  3 |  0.00314 |
| 12 |  8 |   0.0394 |
|  6 |  2 |   0.0314 |
| 13 |  2 |    0.734 |
|  6 |  3 |   0.0185 |
| 13 |  3 |   0.0794 |
|  6 |  4 |  0.00514 |
| 13 |  4 |   0.0365 |
|  7 |  3 |    0.023 |
| 13 |  5 |   0.0474 |
|  7 |  4 |   0.0302 |
| 13 |  6 |   0.0238 |
|  7 |  6 |  0.00245 |
| 13 | 10 |   0.0187 |
|  8 |  1 |    0.371 |
| 14 |  1 |  0.00361 |
|  8 |  2 |    0.117 |
| 14 |  2 |   0.0019 |
|  9 |  1 |   0.0138 |
| 14 |  8 |    0.123 |
|  9 |  2 |     0.14 |
| 14 |  9 |    0.037 |
|  9 |  3 |    0.104 |
| 14 | 12 |  0.00526 |
|  9 |  8 |  0.00719 |
| 15 |  3 |    0.693 |
| 10 |  2 |  0.00536 |
| 15 |  4 |    0.367 |
| 10 |  3 |   0.0652 |
| 15 |  6 |   0.0152 |
| 10 |  4 |   0.0464 |
| 15 | 10 |    0.149 |
| 10 |  5 |    0.141 |
| 15 | 11 |   0.0271 |
| 10 |  6 |   0.0726 |
| 15 | 13 |   0.0243 |
| 10 |  7 |   0.0301 |
