#index multiplicity L Jn Jd Eexp Ecal1 Ecal2
1   4  F 9  2    0.      0.     0. 
2   4  F 7  2    841     810    824 
3   4  F 5  2    1451    1408   1428 
4   4  F 3  2    1867    1819   1842 
5   4  P 5  2    15202   18481  18502 
6   4  P 3  2    15428   18770  18785 
7   4  P 1  2    15811   19125  19118 
8   2  G 9  2    16978   19565  19581 
9   2  G 7  2    17766   20348  20357 
10  2  P 3  2    20195   25601  25633 
11  2  P 1  2    20919   26486  26474 
12  2  H 11 2    22720   25690  25687 
13  2  D 5  2    23059   27795  27804 
14  2  H 9  2    23434   26367  26379 
15  2  D 3  2    24237   29058  29033 
