SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR     PA PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR    RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER STOP     A_BIG SAREA
pixel                                                         degrees degrees   pixel  pixel   pixel  pixel                        pixel**1/4                                                                                                                                                                                      pixel

     0.00       11.9      INDEF     INDEF     INDEF  INDEF  INDEF  INDEF  INDEF  234.63  INDEF  123.01  INDEF    -0.38  INDEF  INDEF 0.00000   -2.69   INDEF   INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.51       11.7    0.00603    0.0308    0.0217 0.8482 0.0131  89.96   0.80  234.63   0.02  123.01   0.00   -0.464  0.297  0.641 0.84409   -2.67 5.60E-4 5.60E-4       11.891       11.891   -2.69   -2.69      1      1  -0.00658  0.0348    0.0611  0.0514    0.0311  0.0385   -0.0127  0.0325    13     0  50  2   0.00221   2.0
     0.56       11.7    0.00739    0.0377    0.0267 0.8444 0.0122  89.97   0.74  234.59   0.02  123.01   0.00   -0.577  0.307  0.532 0.86444   -2.67 6.88E-4 6.87E-4       11.891       11.891   -2.69   -2.69      1      1    -0.009  0.0313    0.0567  0.0424     0.027  0.0327   -0.0142   0.029    13     0  50  2   0.00246   2.0
     0.61       11.5     0.0157    0.0802    0.0567 0.7249 0.0252  89.31   1.62  234.57   0.03  123.01   0.01    -0.95  0.519  0.546 0.88528   -2.65 0.00148 0.00148       11.891       11.891   -2.69   -2.69      1      1   -0.0202  0.0372    0.0676  0.0503    0.0253  0.0357   -0.0328  0.0362    13     0  10  0   0.00472   2.0
     0.68       11.3      0.022     0.112    0.0792 0.5836 0.0301  87.50   2.16  234.57   0.02  123.02   0.01    -1.53  0.594  0.389 0.90663   -2.63 0.00211  0.0021       11.891       11.891   -2.69   -2.69      1      1  -0.00236   0.028    0.0561  0.0347   0.00585  0.0239   -0.0445  0.0286    13     0  12  0   0.00662   2.0
     0.74        11.     0.0249     0.127    0.0899 0.3768 0.0341  86.94   3.31  234.56   0.02  123.02   0.01    -2.08  0.577  0.277 0.92849    -2.6 0.00247 0.00246       11.891       11.891   -2.69   -2.69      1      1    0.0379  0.0214    0.0388  0.0209    0.0017  0.0105   -0.0464  0.0163    13     0  12  0   0.00725   2.0
     0.82       10.6     0.0192     0.098    0.0693 0.1772 0.0263  80.47   4.82  234.57   0.01  123.04   0.01     -2.5  0.423  0.169 0.95088   -2.56 0.00197 0.00197       11.891       11.891   -2.69   -2.69      1      1    0.0252  0.0119     0.018  0.0111  -0.00655  0.0066   -0.0268 0.00768    13     0  10  0   0.00463   2.0
     0.90       10.3      0.031     0.158     0.112 0.0625 0.0390  70.30  19.05  234.59   0.02  123.05   0.02    -2.83  0.512  0.181 0.97381   -2.53 0.00328 0.00327       11.891       11.891   -2.69   -2.69      1      1    0.0377  0.0165  -0.00358  0.0145  -0.00279  0.0146   -0.0119  0.0141    13     0  50  2   0.00868   2.0
