SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR     PA PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR    RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER STOP     A_BIG SAREA
pixel                                                         degrees degrees   pixel  pixel   pixel  pixel                        pixel**1/4                                                                                                                                                                                      pixel

     0.00       11.9      INDEF     INDEF     INDEF  INDEF  INDEF  INDEF  INDEF  235.00  INDEF  123.00  INDEF    -1.57  INDEF  INDEF 0.00000   -2.69   INDEF   INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       11.1      0.109     0.557     0.394 0.4360 0.0535  23.47   4.65  235.00   0.02  123.00   0.02    -1.55    3.1     2. 0.84958   -2.61  0.0108  0.0107       11.891       11.891   -2.69   -2.69      1      1    0.0602   0.127    0.0157  0.0492   -0.0991   0.199   -0.0732   0.147    13     0   1  0     INDEF   2.0
     0.57        11.      0.119     0.609      0.43 0.4360 0.0530  23.47   4.61  235.00   0.02  123.00   0.03    -1.55   3.08   1.99 0.87007    -2.6  0.0119  0.0117       11.891       11.891   -2.69   -2.69      1      1    0.0592   0.124    0.0133  0.0461   -0.0986   0.197   -0.0728   0.145    13     0   1  0     INDEF   2.0
     0.63       10.9       0.13     0.665      0.47 0.4360 0.0525  23.47   4.56  235.00   0.02  123.00   0.03    -1.54   3.06   1.99 0.89105   -2.59  0.0131  0.0129       11.891       11.891   -2.69   -2.69      1      1     0.058   0.122    0.0106   0.043    -0.098   0.195   -0.0724   0.144    13     0   1  0     INDEF   2.0
     0.69       10.8      0.142     0.726     0.513 0.4360 0.0519  23.47   4.51  235.00   0.02  123.00   0.03    -1.54   3.04   1.98 0.91254   -2.58  0.0144  0.0142       11.891       11.891   -2.69   -2.69      1      1    0.0567   0.119   0.00765  0.0401   -0.0974   0.193   -0.0719   0.142    13     0   1  0     INDEF   2.0
     0.76       10.7      0.155     0.792      0.56 0.4360 0.0514  23.47   4.46  235.00   0.02  123.00   0.03    -1.53   3.01   1.97 0.93454   -2.57  0.0159  0.0156       11.891       11.891   -2.69   -2.69      1      1    0.0553   0.115   0.00436  0.0379   -0.0967    0.19   -0.0714    0.14    13     0   1  0     INDEF   2.0
     0.84       10.6      0.169     0.863      0.61 0.4360 0.0508  23.47   4.41  235.00   0.03  123.00   0.04    -1.52   2.98   1.95 0.95708   -2.56  0.0175  0.0172       11.891       11.891   -2.69   -2.69      1      1    0.0537   0.112   7.17E-4  0.0367   -0.0959   0.188   -0.0708   0.139    13     0   1  0     INDEF   2.0
     0.92       10.5      0.184     0.939     0.664 0.4360 0.0501  23.47   4.36  235.00   0.03  123.00   0.04    -1.52   2.95   1.94 0.98016   -2.55  0.0193   0.019       11.891       11.891   -2.69   -2.69      1      1    0.0519   0.108  -0.00333  0.0369   -0.0951   0.185   -0.0701   0.136    13     0   1  0     INDEF   2.0
