SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       7.13      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  124.78  INDEF   85.03  INDEF    -1.19    INDEF      INDEF    0.00000   -2.13    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       6.51     0.0217     0.111    0.0784 0.3543    0.0749   89.61    7.61  124.78   0.03   85.03   0.02    -1.23    0.639      0.521    0.84958   -2.03  0.00363  0.00362       7.1328       7.1328   -2.13   -2.13      1      1    0.0184  0.0303     0.137  0.0767  -0.00352   0.028    0.0222   0.029    13     0    10     0   3.32E-5   2.0
     0.57       6.45     0.0234     0.119    0.0844 0.3544    0.0739   89.58    7.51  124.76   0.03   85.04   0.02    -1.22    0.626      0.514    0.87007   -2.02  0.00395  0.00393       7.1328       7.1328   -2.13   -2.13      1      1    0.0184  0.0297     0.136   0.075   -0.0037  0.0275    0.0206  0.0283    13     0    10     0   4.69E-5   2.0
     0.63       6.39     0.0252     0.128    0.0907 0.3546    0.0728   89.52    7.40  124.74   0.04   85.04   0.02    -1.21    0.612      0.507    0.89105   -2.01  0.00428  0.00427       7.1328       7.1328   -2.13   -2.13      1      1    0.0185  0.0291     0.134   0.073  -0.00387   0.027    0.0189  0.0274    13     0    10     0   5.01E-5   2.0
     0.69       6.32     0.0268     0.137    0.0966 0.3531    0.0662   89.30    6.74  124.71   0.04   85.04   0.02    -1.29    0.558      0.433    0.91254     -2.  0.00461  0.00459       7.1328       7.1328   -2.13   -2.13      1      1     0.018  0.0258     0.122   0.058  -0.00347  0.0242    0.0156   0.024    13     0    10     0   7.31E-4   2.0
     0.76       6.18     0.0235      0.12    0.0848 0.2934    0.0508   88.29    6.01  124.69   0.03   85.05   0.02    -1.46     0.45      0.308    0.93454   -1.98  0.00414  0.00412       7.1328       7.1328   -2.13   -2.13      1      1    0.0206  0.0182    0.0854  0.0309   0.00309  0.0167    0.0106  0.0163    13     0    10     0   8.60E-4   2.0
     0.84       6.01     0.0228     0.116    0.0822 0.2105    0.0458   88.29    7.21  124.67   0.02   85.05   0.02     -1.6    0.406      0.255    0.95708   -1.95  0.00413  0.00411       7.1328       7.1328   -2.13   -2.13      1      1    0.0262  0.0198     0.054  0.0226     0.016  0.0183   0.00771  0.0171    13     0    10     0   0.00265   2.0
     0.92       5.74     0.0189    0.0965    0.0682 0.0658    0.0377   80.80   17.57  124.66   0.02   85.08   0.02    -1.72    0.318      0.185    0.98016    -1.9  0.00358  0.00357       7.1328       7.1328   -2.13   -2.13      1      1    0.0315  0.0164    0.0131  0.0149   0.00945   0.015   0.00794  0.0143    13     0    50     2   0.00877   2.0
