SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       3.44      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  405.28  INDEF  246.94  INDEF   -0.181    INDEF      INDEF    0.00000   -1.34    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.53       3.34    0.00313     0.016    0.0113 0.4768    0.0548  -88.65    4.47  405.28   0.03  246.94   0.02   -0.191   0.0968      0.506    0.85475   -1.31  0.00102  0.00102       3.4414       3.4414   -1.34   -1.34      1      1    0.0436  0.0332     0.121  0.0656   -0.0169  0.0252   -0.0179  0.0243    13     0    10     0   7.38E-5   2.0
     0.59       3.34    0.00338    0.0172    0.0122 0.4816    0.0539  -88.38    4.37  405.31   0.03  246.94   0.02   -0.189   0.0953      0.505    0.87536   -1.31   0.0011   0.0011       3.4414       3.4414   -1.34   -1.34      1      1    0.0428  0.0329      0.12   0.065   -0.0165   0.025   -0.0197  0.0246    13     0    10     0   2.21E-4   2.0
     0.65       3.33    0.00366    0.0187    0.0132 0.4993    0.0478  -87.91    3.78  405.34   0.03  246.93   0.02   -0.202    0.087      0.431    0.89646   -1.31  0.00119  0.00119       3.4414       3.4414   -1.34   -1.34      1      1    0.0393  0.0293     0.108  0.0518   -0.0141   0.023   -0.0243  0.0236    13     0    11     0   8.70E-4   2.0
     0.71        3.3    0.00323    0.0165    0.0117 0.3697    0.0385  -85.18    3.78  405.38   0.02  246.92   0.01   -0.254   0.0758      0.299    0.91808    -1.3  0.00106  0.00106       3.4414       3.4414   -1.34   -1.34      1      1    0.0315  0.0173    0.0682  0.0247  -0.00794  0.0118   -0.0257  0.0134    13     0    10     0   8.58E-4   2.0
     0.78       3.26    0.00372     0.019    0.0134 0.2330    0.0418  -82.63    6.01  405.42   0.02  246.90   0.02   -0.297   0.0781      0.263    0.94022   -1.28  0.00124  0.00124       3.4414       3.4414   -1.34   -1.34      1      1    0.0358  0.0223    0.0312  0.0211   0.00537  0.0144    -0.043  0.0177    13     0    13     0   0.00108   2.0
     0.86       3.22     0.0047    0.0239    0.0169 0.0643    0.0449  -88.22   21.35  405.44   0.02  246.86   0.02   -0.348   0.0809      0.232    0.96289   -1.27  0.00159  0.00158       3.4414       3.4414   -1.34   -1.34      1      1    0.0324  0.0209  -0.00904  0.0188   -0.0206  0.0186   -0.0131  0.0174    13     0    50     2   0.00769   2.0
     0.95       3.19    0.00615    0.0314    0.0222 0.0643    0.0516  -66.08   24.57  405.44   0.03  246.86   0.03   -0.402   0.0964       0.24    0.98611   -1.26   0.0021  0.00209       3.4414       3.4414   -1.34   -1.34      1      1    0.0488  0.0227    0.0195  0.0193    0.0034  0.0167   -0.0304  0.0175    13     0    10     0   2.13E-4   2.0
