SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       7.28      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  406.16  INDEF  237.22  INDEF   -0.349    INDEF      INDEF    0.00000   -2.16    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.53        7.1    0.00767    0.0391    0.0277 0.2639    0.0853    0.04   11.04  406.16   0.02  237.22   0.03   -0.423    0.219      0.519    0.85475   -2.13  0.00117  0.00117       7.2813       7.2813   -2.16   -2.16      1      1    0.0819   0.046     0.134  0.0718    0.0127  0.0178   -0.0157  0.0177    13     0    10     0   8.28E-6   2.0
     0.59       7.08    0.00851    0.0434    0.0307 0.2628    0.0858    0.01   11.13  406.18   0.03  237.24   0.03   -0.425    0.221      0.521    0.87536   -2.12  0.00131   0.0013       7.2813       7.2813   -2.16   -2.16      1      1    0.0824  0.0464     0.135  0.0723    0.0138  0.0179   -0.0147  0.0174    13     0    10     0   6.41E-5   2.0
     0.65       7.05    0.00949    0.0484    0.0342 0.2611    0.0866    0.10   11.31  406.20   0.03  237.27   0.04   -0.427    0.225      0.526    0.89646   -2.12  0.00146  0.00146       7.2813       7.2813   -2.16   -2.16      1      1    0.0822  0.0466     0.137  0.0739    0.0149  0.0182   -0.0133  0.0172    13     0    10     0   3.85E-4   2.0
     0.71       7.03     0.0105    0.0536    0.0379 0.2437    0.0673   -0.58    9.32  406.22   0.02  237.29   0.03   -0.567    0.214      0.377    0.91808   -2.12  0.00163  0.00162       7.2813       7.2813   -2.16   -2.16      1      1    0.0696  0.0295    0.0996  0.0397    0.0142  0.0134  -0.00916  0.0122    13     0    10     0   0.00149   2.0
     0.78       6.96     0.0122    0.0624    0.0442 0.1069    0.0674   -0.58   19.75  406.28   0.03  237.29   0.03   -0.708    0.237      0.335    0.94022   -2.11  0.00191  0.00191       7.2813       7.2813   -2.16   -2.16      1      1    0.0798  0.0318    0.0539  0.0245    0.0203  0.0165    -0.016  0.0153    13     0    10     0   0.00112   2.0
     0.86       6.89     0.0118    0.0603    0.0426 0.0736    0.0518    2.24   21.67  406.29   0.02  237.27   0.02   -0.839    0.202      0.241    0.96289    -2.1  0.00186  0.00186       7.2813       7.2813   -2.16   -2.16      1      1    0.0511   0.022    0.0279  0.0188    0.0152  0.0156    -0.027  0.0159    13     0    10     0   1.63E-4   2.0
     0.95       6.82      0.012    0.0611    0.0432 0.0577    0.0442    2.44   23.35  406.30   0.02  237.25   0.02    -0.92    0.185      0.201    0.98611   -2.08  0.00191  0.00191       7.2813       7.2813   -2.16   -2.16      1      1    0.0285  0.0205   0.00753  0.0189   0.00754  0.0173   -0.0279  0.0174    13     0    10     0   0.00242   2.0
